status,product,component,hardware,importance
NEW,CDT,cdt-debug,PC Linux,normal
NEW,Platform,SWT,PC Windows All,enhancement
NEW,GMF-Tooling,Core,All All,major
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Dali JPA Tools,JPA,PC Windows XP,normal
NEW,Dali JPA Tools,JPA,PC Windows XP,normal
ASSIGNED,Platform,Compare,PC Windows XP,major
NEW,Platform,UI,PC Windows XP,enhancement
NEW,JDT,Core,PC All,normal
NEW,GMF-Tooling,Core,All All,trivial
NEW,AspectJ,LTWeaving,PC Windows XP,enhancement
NEW,GMF-Tooling,Core,All All,enhancement
NEW,Platform,Runtime,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,WTP Webservices,wst.wsdl,PC Windows XP,minor
NEW,z_Archived,VE,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,JDT,Core,All All,major
ASSIGNED,JDT,UI,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,CDT,cdt-debug,PC Windows XP,normal
NEW,Platform,SWT,PC All,normal
NEW,WTP Java EE Tools,jst.j2ee,PC Windows 2000,enhancement
NEW,GMF-Tooling,Core,All All,enhancement
ASSIGNED,Platform,Resources,PC Linux,major
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,CDT,cdt-debug,PC Windows XP,normal
NEW,GMF-Tooling,Core,All All,enhancement
ASSIGNED,WTP Webservices,wst.wsi,All All,enhancement
NEW,z_Archived,VE,Macintosh Mac OS X - Carbon (unsup.),enhancement
ASSIGNED,JDT,UI,All All,enhancement
NEW,CDT,cdt-debug,All Linux,enhancement
ASSIGNED,Target Management,RSE,PC Linux-GTK,minor
NEW,Platform,UI,PC Windows XP,normal
ASSIGNED,Platform,UI,All All,normal
NEW,AspectJ,LTWeaving,PC Windows XP,enhancement
NEW,ATF,Mozilla,PC Linux,normal
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,WTP Source Editing,wst.xml,All All,enhancement
NEW,GMF-Tooling,Core,All All,enhancement
ASSIGNED,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),minor
NEW,AspectJ,Compiler,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,IDE,All All,enhancement
NEW,Platform,SWT,PC Windows XP,major
NEW,WTP Source Editing,jst.jsp,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,WTP Webservices,wst.ws,PC Windows XP,minor
NEW,Platform,SWT,Macintosh Mac OS X - Carbon (unsup.),normal
NEW,AspectJ,Compiler,PC Linux,normal
NEW,GMF-Tooling,Core,All All,enhancement
NEW,GMF-Runtime,General,All All,minor
NEW,Platform,IDE,Macintosh Mac OS X - Carbon (unsup.),enhancement
ASSIGNED,Platform,Text,PC Windows XP,minor
NEW,CDT,cdt-core,All All,normal
NEW,JDT,Core,PC Linux-GTK,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,GMF-Tooling,Core,All All,enhancement
NEW,Platform,UI,All All,enhancement
NEW,WTP Source Editing,wst.xsd,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,PDE,Build,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows 2000,normal
NEW,Platform,Resources,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows 2000,enhancement
NEW,JDT,UI,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows 2000,major
NEW,z_Archived,VE,PC Windows NT,normal
ASSIGNED,CDT,cdt-build-managed,Other Linux,normal
NEW,Platform,UI,PC All,enhancement
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,UI,PC Windows XP,normal
ASSIGNED,Platform,Text,All All,enhancement
ASSIGNED,Platform,CVS,PC Windows XP,minor
NEW,JDT,Core,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
NEW,Platform,User,PC Windows XP,normal
NEW,CDT,cdt-debug,PC Linux-GTK,normal
ASSIGNED,Platform,UI,All All,enhancement
NEW,GMF-Tooling,Core,PC Windows XP,enhancement
NEW,JDT,Core,PC Windows XP,enhancement
NEW,AspectJ,LTWeaving,PC Windows XP,enhancement
NEW,JDT,Core,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows 2000,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,WTP Source Editing,wst.sse,All All,normal
NEW,Platform,UI,All All,enhancement
ASSIGNED,JDT,UI,PC Windows XP,major
NEW,Platform,SWT,PC Windows XP,normal
NEW,JDT,Core,All All,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),normal
ASSIGNED,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),normal
NEW,Platform,UI,PC Windows XP,normal
NEW,CDT,cdt-core,All All,normal
NEW,Platform,UI,PC Windows 2000,normal
NEW,Platform,IDE,PC Windows 2000,normal
NEW,Platform,SWT,PC Windows XP,major
ASSIGNED,JDT,Text,PC Windows XP,enhancement
NEW,Mylyn,Tasks,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC Linux,normal
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,Releng,PC All,normal
ASSIGNED,Platform,Text,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows 2000,enhancement
NEW,Platform,User,PC Windows XP,normal
ASSIGNED,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),normal
NEW,AspectJ,Compiler,PC Windows XP,enhancement
ASSIGNED,Platform,Team,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC All,normal
NEW,CDT,cdt-debug,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,Mylyn,Java,PC All,minor
NEW,Mylyn,UI,PC All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,WTP Source Editing,wst.xsd,PC Windows XP,normal
NEW,CDT,cdt-debug,Other Linux,normal
NEW,Platform,UI,PC Windows XP,enhancement
ASSIGNED,Platform,CVS,PC Windows XP,normal
ASSIGNED,JDT,UI,PC Linux,normal
ASSIGNED,JDT,UI,All All,enhancement
NEW,Platform,UI,PC Windows 2000,normal
ASSIGNED,Platform,CVS,PC Windows 2000,enhancement
NEW,WTP Source Editing,wst.xsd,PC Windows XP,normal
ASSIGNED,Platform,Resources,All All,enhancement
NEW,WTP Source Editing,wst.xml,PC Windows XP,enhancement
ASSIGNED,GMF-Tooling,Core,PC Windows XP,normal
NEW,JDT,Core,PC Windows XP,enhancement
NEW,CDT,cdt-core,PC Linux,major
NEW,CDT,cdt-debug,PC All,normal
NEW,Mylyn,Tasks,All All,enhancement
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,JDT,Core,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,PC All,enhancement
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,Equinox,Framework,PC Windows XP,enhancement
NEW,GMF-Tooling,Core,All All,normal
NEW,Platform,Releng,PC Windows XP,enhancement
NEW,Platform,User,All All,enhancement
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,User,PC Windows XP,normal
NEW,Platform,IDE,PC Linux,normal
ASSIGNED,Platform,Text,All All,enhancement
NEW,CDT,cdt-debug,PC Windows 2000,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
ASSIGNED,GMF-Runtime,General,PC Windows XP,normal
NEW,WTP Source Editing,wst.xsd,PC Windows 2000,enhancement
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,Platform,SWT,PC All,normal
NEW,Platform,SWT,PC All,normal
NEW,WTP Webservices,wst.ws,PC Windows 2000,normal
NEW,JDT,Core,PC Windows 2000,normal
NEW,JDT,UI,PC Windows 2000,normal
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,SWT,PC Windows 2000,major
ASSIGNED,JDT,Text,PC Windows XP,minor
ASSIGNED,Platform,UI,PC Linux,enhancement
ASSIGNED,JDT,UI,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,JDT,Core,PC Windows XP,normal
NEW,BIRT,Report,PC Linux,enhancement
NEW,Platform,UI,PC Linux,normal
ASSIGNED,JDT,Core,All All,normal
NEW,Platform,UI,PC Windows XP,enhancement
NEW,Equinox,p2,PC Linux,enhancement
NEW,PDE,UI,PC Windows XP,normal
NEW,Mylyn,UI,PC All,enhancement
NEW,Mylyn Tasks,Bugzilla,All All,enhancement
ASSIGNED,Platform,Team,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,enhancement
NEW,Platform,SWT,PC Mac OS X - Carbon (unsup.),normal
NEW,Platform,UI,PC Windows XP,enhancement
NEW,Equinox,Server-Side,PC Windows XP,enhancement
NEW,JDT,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,minor
NEW,Platform,User,Macintosh Mac OS X - Carbon (unsup.),normal
NEW,Platform,Ant,PC Windows XP,major
NEW,WTP Source Editing,wst.xsd,PC Windows 2000,normal
NEW,Platform,IDE,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,WTP Source Editing,jst.jsp,PC Windows XP,normal
NEW,CDT,cdt-debug,PC Windows XP,normal
NEW,CDT,cdt-debug,PC Windows XP,normal
ASSIGNED,AspectJ,Compiler,Macintosh Mac OS X - Carbon (unsup.),enhancement
ASSIGNED,JDT,UI,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,JDT,Core,PC Windows XP,major
NEW,WTP Webservices,wst.wsdl,PC Linux,enhancement
NEW,Java Server Faces,JSF,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,Platform,Ant,PC Windows XP,normal
NEW,Platform,User,PC All,enhancement
NEW,PDE,UI,PC Windows XP,enhancement
NEW,Platform,Runtime,All All,normal
ASSIGNED,JDT,Debug,PC Windows XP,normal
NEW,Platform,Ant,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,UI,PC Linux,normal
NEW,M2T,Jet,PC Windows XP,enhancement
ASSIGNED,Platform,Text,PC All,normal
NEW,Platform,Resources,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,WTP Webservices,jst.ws,PC Windows XP,minor
NEW,WTP ServerTools,wst.server,PC Windows XP,normal
ASSIGNED,Platform,Text,All All,enhancement
NEW,Platform,User,PC Windows XP,minor
ASSIGNED,PDE,UI,All All,enhancement
NEW,JDT,Core,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,enhancement
ASSIGNED,Platform,UI,Macintosh Mac OS X - Carbon (unsup.),enhancement
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Mylyn,Tasks,PC Windows XP,enhancement
NEW,PDE,UI,PC Windows XP,normal
ASSIGNED,JDT,UI,All All,enhancement
NEW,Mylyn,Core,PC All,enhancement
NEW,GMF-Runtime,General,PC Linux-GTK,normal
NEW,Mylyn,Tasks,PC All,enhancement
NEW,GMF-Tooling,Core,PC Windows XP,enhancement
NEW,GMF-Runtime,General,All All,normal
NEW,Platform,SWT,All All,enhancement
NEW,Platform,Text,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,BIRT,Data,All All,enhancement
NEW,Mylyn,Tasks,PC All,enhancement
NEW,Platform,User,PC Windows XP,minor
ASSIGNED,Platform,CVS,PC Windows XP,major
NEW,Platform,Resources,PC Linux-GTK,normal
NEW,WTP Source Editing,jst.jsp,PC Windows 2000,normal
NEW,z_Archived,DD,All All,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,Resources,PC Windows XP,trivial
ASSIGNED,CDT,cdt-build-managed,Power PC Linux-GTK,normal
ASSIGNED,Platform,UI,PC All,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
ASSIGNED,Platform,Compare,PC Windows XP,enhancement
NEW,JDT,Core,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,WTP Webservices,wst.wsi,PC Windows XP,normal
NEW,Platform,Doc,PC Windows XP,enhancement
NEW,Java Server Faces,Core,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,Search,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
ASSIGNED,Platform,Text,PC All,normal
ASSIGNED,Platform,Ant,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Mylyn,Tasks,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,enhancement
ASSIGNED,Platform,CVS,PC Windows XP,normal
NEW,JDT,Core,PC Windows XP,normal
NEW,Platform,Ant,PC Windows XP,normal
NEW,Platform,SWT,All All,enhancement
NEW,CDT,cdt-build,PC Linux-GTK,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,SWT,PC Linux,enhancement
NEW,BIRT,Report,PC Windows XP,normal
ASSIGNED,Platform,SWT,PC Mac OS X,enhancement
ASSIGNED,Platform,Text,PC Windows XP,enhancement
ASSIGNED,JDT,UI,PC All,normal
NEW,Platform,Resources,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,major
ASSIGNED,JDT,UI,All All,normal
ASSIGNED,Platform,Text,PC Windows XP,enhancement
ASSIGNED,Platform,Text,PC Windows XP,enhancement
ASSIGNED,Platform,CVS,PC Windows XP,normal
ASSIGNED,Platform,Debug,PC Windows 2000,normal
NEW,CDT,cdt-other,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
ASSIGNED,JDT,UI,All All,enhancement
NEW,PDE,UI,All All,enhancement
ASSIGNED,Platform,CVS,PC Windows XP,minor
ASSIGNED,Platform,Compare,All All,enhancement
NEW,Platform,User,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,JDT,UI,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Linux,major
NEW,AspectJ,Build,PC Windows XP,enhancement
NEW,WTP Source Editing,wst.xml,PC Windows XP,enhancement
NEW,JDT,UI,PC Windows XP,normal
ASSIGNED,JDT,Text,PC Windows XP,enhancement
ASSIGNED,Platform,UI,PC Windows XP,enhancement
NEW,WTP ServerTools,jst.server,PC All,normal
ASSIGNED,Platform,CVS,All All,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,Text,PC All,normal
ASSIGNED,JDT,UI,All All,normal
NEW,Platform,User,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,trivial
NEW,Platform,UI,PC Windows XP,minor
NEW,Equinox,Incubator,All All,enhancement
NEW,GMF-Runtime,General,PC Windows XP,enhancement
ASSIGNED,JDT,Debug,PC Windows XP,normal
NEW,Equinox,Security,All All,enhancement
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,IDE,PC Windows XP,normal
ASSIGNED,JDT,Text,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,Runtime,Macintosh Mac OS X - Carbon (unsup.),major
NEW,Platform,Resources,PC Windows XP,enhancement
NEW,Mylyn Tasks,Trac,PC Windows XP,enhancement
NEW,Platform,UI,All All,enhancement
ASSIGNED,Platform,UI,All All,enhancement
ASSIGNED,Platform,CVS,Macintosh Mac OS X - Carbon (unsup.),minor
NEW,Platform,UI,All All,enhancement
NEW,GEF,GEF-Legacy,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,minor
NEW,Platform,IDE,All All,normal
